Fecha,SIMEVEC,VITROA,ALPEKA,AUTLANB,CEMEX,ELEMENT,GCC,GMEXICOB,PAPPEL,PEÑOLES
08.09.2020,0.012383362,-0.010489607,-0.002457004,-0.008298803,-0.017467693,-0.023405324,-0.028922167,-0.030082597,-0.003262646,-0.026843753
07.09.2020,-0.030345925,0.000869944,0.034959865,0.002758622,0.008695707,0.007387896,0.010686976,-0.00151426,-0.019355443,-0.029720067
04.09.2020,0.011049836,-0.000869944,0.002544531,0.00554018,0.001456664,0.01494158,-0.005649182,0.007933201,-0.003189795,0.072983355
03.09.2020,0,-0.010380716,-0.038730637,0.005571045,-0.032977899,0.010810916,-0.004941152,-0.023613255,-0.01892801,-0.037701613
02.09.2020,0,0.014738021,-0.028987537,-0.010189991,-0.015395685,0.013129291,0.014112843,0.003647824,0.00187676,-0.034624962
01.09.2020,-0.028911343,-0.007829531,0.024707494,0,0.025317808,0.035878288,0.024810244,0.030356462,-0.009348775,0.041504408
31.08.2020,0.01676321,0.00521287,0.004892976,0.005545301,-0.050010421,-0.049007579,-0.012283572,-0.005975263,0.016891237,0.007727355
28.08.2020,-0.031124189,-0.002609832,0.003070313,0,-0.024097552,0.033152207,0.002086543,0.02115844,-0.001890955,0.014123115
27.08.2020,0.018471316,0,0.004932192,0.0291511,-0.013140794,0.018141087,-0.017451762,-0.02540473,0.002522069,0.024172673
26.08.2020,0.002604733,-0.015945177,-0.039387097,0,-0.00780238,0.004587164,0.001467208,0.007827163,-0.023706662,-0.005492162
25.08.2020,-0.008440695,0.016379677,0.001189061,-0.000953744,0.00780238,0.002301497,0.002253909,-0.004771652,0,0.027914171
24.08.2020,0.008658063,-0.019367939,-0.028154352,0.023144717,0.011818916,0.010422793,-0.009374153,0.006823636,0.013656326,-0.040725774
21.08.2020,-0.020441809,0.021107827,-0.001156069,-0.039220713,-0.013123548,0.008182395,-0.000777227,-0.023681756,0.003129893,-0.032065487
20.08.2020,-0.001064396,-0.018547006,-0.026789861,0.024692613,0.025083823,0,-0.01197041,-0.022807136,-0.02293252,0.005607006
19.08.2020,0.008761676,0.007291476,-0.011741818,-0.009569451,-0.018543578,0.018957914,0.012067531,0.036609746,0.019802627,-0.006942574
18.08.2020,-0.004497277,0.001292268,0.001112347,0.004773279,-0.024628594,-0.010708014,-0.015324863,0.003905923,-0.030771659,-0.026104685
17.08.2020,-0.012528033,0.000862441,-0.007208237,-0.009523882,0.040501943,-0.005899722,-0.024564296,-0.008134259,0.003034904,0.034227363
14.08.2020,-0.031570639,0.007795622,0.004429686,-0.014117882,0.01342302,0.035932009,0.010884972,0.007283847,-0.007871672,-0.000960654
13.08.2020,0.029252164,0,0.005006965,0,0.001352265,0.108074222,-0.006113926,0.00887984,-0.00721157,0.026126385
12.08.2020,-0.003152919,0.002176279,-0.00556175,0.016015415,-0.016107731,0.053011016,-0.019317094,-0.004620527,0.013261195,-0.013537532
11.08.2020,0.002100841,-0.002176279,-0.003874901,-0.015080399,0.005340467,0.011527505,0.048817758,-0.008500561,0.020846862,-0.076173585
10.08.2020,0.007387896,-0.003038856,0.016151841,-0.026766711,0.020284671,0,-0.023764061,-0.004897418,0.002481391,0.002139038
07.08.2020,-0.005071862,-0.006480904,-0.025500273,0.007312647,0.00273598,0.033901552,-0.000848456,-0.039959089,-0.02028966,0.002453926
06.08.2020,0.026918951,-0.001291156,-0.011969675,0.110470389,0.002743486,0.004507896,-0.009659193,0.002593194,-0.007881217,-0.005493598
05.08.2020,-0.027551129,0.0004302,0.021870746,0.011334485,0.018018506,0.021309787,-0.004005035,0.06088837,-0.039661902,0.118886425
04.08.2020,0.016139658,0.001722653,0.036592881,0.014614039,0.016925651,0,0.027422213,0.016871432,-0.001160093,0.025138817
